add,bath,bed,car,desc,features,headline,id,lat,lon,photo,postcode,price,street,suburb,type,url,url2,date,min_price,max_price
"15 Marion Street, Parramatta",2.0,2.0,1,"<b></b><br />Positioned within minutes' walk to both Harris Park and Parramatta railway stations and just a short stroll to bus interchange hub, Westfield Shoppingtown, reputable schools and vibrant Harris Park local shopping and dining. Short 5 mins w...","['AirConditioning', 'BuiltInWardrobes', 'Gas', 'NorthFacing', 'Dishwasher']",North Facing townhouse on Convenience Location!,2016915662.0,-33.82244,151.006058,https://bucket-api.domain.com.au/v1/bucket/image/2016915662_1_1_210406_025757-w960-h640,2150,"Must Sell !! PRICE GUIDE $730,000",15 Marion Street,PARRAMATTA,Townhouse,https://www.domain.com.au/15-marion-street--parramatta-2150-2016915662,https://www.domain.com.au/15-marion-street-parramatta-nsw-2150-2016915662,2021-07-10,730000.0,730000.0
"51/9-11 Cowper Street, Parramatta",2.0,2.0,1,"<b></b><br />This stunning ultra-modern 2 bedroom luxury apartment can offer you a vibrant lifestyle being located in picturesque neighbourhood, surrounded by green park on one side and CBD on the other.

Situated in a much sought after area is this ex...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'CityViews', 'AlarmSystem', 'Intercom', 'Heating']",Split level 2 bedroom apartment with city views,2016904940.0,-33.82169,151.006409,https://bucket-api.domain.com.au/v1/bucket/image/2016904940_4_1_210510_120302-w3960-h2640,2150,Split Level Apt,Cowper Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/51-9-11-cowper-street--parramatta-2150-2016904940,https://www.domain.com.au/51-9-11-cowper-street-parramatta-nsw-2150-2016904940,2021-07-10,,
"59/11 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />Amazing Inner City Apartment Living

Sky Rise offers a luxurious high rise apartment living lifestyle right in the heart of Parramatta. This sensational brand new complex features 41 speciality shops, 4 levels of basement parking and panor...","['AirConditioning', 'Ensuite', 'Gas', 'InternalLaundry', 'Intercom', 'Study']","Due to COVID RESTRICTIONS , 
Please call David on   0407 213 752   to book a Private Inspection Time.",2015656805.0,-33.8186531,151.008347,https://bucket-api.domain.com.au/v1/bucket/image/2015656805_1_1_190918_044522-w800-h600,2150,"Price Guide $840,000 - $860,000",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/59-11-hassall-street--parramatta-2150-2015656805,https://www.domain.com.au/59-11-hassall-street-parramatta-nsw-2150-2015656805,2021-07-10,840000.0,860000.0
"601/31-37 Hassall Street, Parramatta",2.0,3.0,1,"<b></b><br />Inspections by appointment only. Please contact our friendly sales team to book a suitable time. Strictly 1 person at a time and please wear your mask.

There's space for a family or all your activities in this bright three-bedroom apart...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'CityViews', 'Bath', 'Dishwasher', 'BalconyDeck']",SPACE FOR ALL IN A HANDY LOCATION,2016889144.0,-33.81783,151.010437,https://bucket-api.domain.com.au/v1/bucket/image/2016889144_1_1_210324_024149-w1920-h1280,2150,"$735,000",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/601-31-37-hassall-street--parramatta-2150-2016889144,https://www.domain.com.au/601-31-37-hassall-street-parramatta-nsw-2150-2016889144,2021-07-10,735000.0,735000.0
"83-85 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />A reflection of the future 

Introducing SQ1 live in one of the most dynamic and in-demand city precincts in Sydney in a uniquely cosmopolitan setting seamlessly linked to Parramatta CBD. A fusion of global style and creativity designed to...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'SwimmingPool', 'Furnished', 'GroundFloor', 'AlarmSystem', 'Intercom']","South Quarter, Parramatta. Private or Video Inspections Only, book now.",2014236157.0,-33.82079,151.003525,https://bucket-api.domain.com.au/v1/bucket/image/2014236156_4_1_180604_073745-w1680-h1121,2150,"$809,000 to $875,000",83-85 Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/83-85-church-street--parramatta-2150-2014236157,https://www.domain.com.au/83-85-church-street-parramatta-nsw-2150-2014236157,2021-07-10,809000.0,875000.0
"4901/330 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />This stunning architecturally designed apartment, situated in Meritons riverfront Altitude development, offers a contemporary layout, endless natural light and sensational views. A generous light-filled living area with floor-to-ceiling wi...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'SwimmingPool', 'IndoorSpa', 'Gym', 'Intercom', 'Bath', 'Dishwasher', 'BalconyDeck']",Luxury apartment living with sensational views to match,2016813149.0,-33.81145,151.00502,https://bucket-api.domain.com.au/v1/bucket/image/2016813149_1_1_210219_055221-w1920-h1282,2150,$820000  NO OPEN  FOR INSPECTION DUE TO COVID. ONLY PRIVATE INSPECTIONS.,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/4901-330-church-street--parramatta-2150-2016813149,https://www.domain.com.au/4901-330-church-street-parramatta-nsw-2150-2016813149,2021-07-10,820000.0,820000.0
"203/25 Campbell Street, Parramatta",2.0,2.0,1,"<b></b><br />-2 Bedrooms , Main with Ensuite   2 bathrooms, 
- All bedrooms and living Area with sprite Air cons.
- Caesarstone bencntop and dishwasher , Gas cooking kitchen
- Spacious bathroom with Both shower and Tub
- North/East aspect balcony 
- Wa...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Intercom', 'Dishwasher', 'BalconyDeck']",Just Opposite of the Westfield Shopping Center,2016775614.0,-33.81875,151.000992,https://bucket-api.domain.com.au/v1/bucket/image/2016775614_4_1_210203_014116-w1200-h800,2150,Sold,Campbell Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/203-25-campbell-street--parramatta-2150-2016775614,https://www.domain.com.au/203-25-campbell-street-parramatta-nsw-2150-2016775614,2021-07-10,,
Parramatta,2.0,2.0,1,"<b></b><br />Enjoying one of the finest, most convenient locations in Sydney's second largest CBD, this exceptional apartment puts you front row centre for growth, gentrification and cultural change that Parramatta is currently experiencing.

A wonderf...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Intercom', 'Dishwasher']",Stunning Apartment in the Heart of Parramatta CBD,2016760405.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2016341964_1_1_200630_015908-w1620-h1080,2150,BRAND NEW SELECTION I HUGE DISCOUNT,,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/parramatta-2150-2016760405,https://www.domain.com.au/parramatta-nsw-2150-2016760405,2021-07-10,,
"304/2-4 Amos Street, Parramatta",2.0,2.0,1,"<b></b><br />Well-appointed spacious apartment on the boarder of Parramatta and Westmead, North-west facing light-filled interiors feature a spacious entertaining area and a premium kitchen embraced by superb cosmopolitan outlooks. This apartment assur...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'AlarmSystem', 'Intercom', 'Heating']",Westmead Public School & Parramatta High School Catchment,2016760124.0,-33.8163033,150.993179,https://bucket-api.domain.com.au/v1/bucket/image/2016760124_1_1_210127_050827-w1200-h800,2150,Under Contract,Amos Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/304-2-4-amos-street--parramatta-2150-2016760124,https://www.domain.com.au/304-2-4-amos-street-parramatta-nsw-2150-2016760124,2021-07-10,,
"Lv 10/23 Hassall street, Parramatta",2.0,2.0,1,"<b></b><br />2bedroom 2bathroom 1carpark total of 99SQM
Walking distance to Parramatta Square and all vibrant restaurants and cafe shops Parramatta has to offer. 

Western University campus at your doorstep and minutes from Westfield shopping centre. P...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'CityViews', 'Dishwasher']",New Listing South East Facing Amazing City View,2016731256.0,-33.81783,151.009918,https://bucket-api.domain.com.au/v1/bucket/image/2016731256_1_1_210114_120119-w1800-h1199,2150,"River, Park and City view Affordable and Centrally located!",Hassall street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/lv-10-23-hassall-street--parramatta-2150-2016731256,https://www.domain.com.au/lv-10-23-hassall-street-parramatta-nsw-2150-2016731256,2021-07-10,,
"3209/1A Morton Street, Parramatta",2.0,2.0,1,"<b></b><br />Offering a prized corner position and an exceptional layout, this 2 bedroom,  apartment is among the largest and most inviting in the area. The open plan living areas flow seamlessly to a spacious, undercover balcony ideal for year round e...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'Intercom', 'Heating', 'Dishwasher', 'Study']","Light Filled, Corner Position, 2 Bedroom Apartment Plus Study",2016324949.0,-33.81428,151.016418,https://bucket-api.domain.com.au/v1/bucket/image/13289175_1_1_190604_074254-w4256-h2832,2150,"$625,000 to $650,000",Morton Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/3209-1a-morton-street--parramatta-2150-2016324949,https://www.domain.com.au/3209-1a-morton-street-parramatta-nsw-2150-2016324949,2021-07-10,625000.0,650000.0
"88 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />To enquire on this property just TEXT (no calls) this Code  *AMXY*  to the mobile number displayed for an instant response, or use the  'Get in touch/email agent  tab to send an email.

Brand New High Rise Apartment listed for Sale!

Stunn...","['Floorboards', 'InternalLaundry']","Luxurious High Rise Apartment for Sale. Investors, First Home Buyers, Retirees Dream!",2016711294.0,-33.8197975,151.004211,https://bucket-api.domain.com.au/v1/bucket/image/2016711294_1_1_201223_071637-w1500-h1000,2150,"$920,000",Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/88-church-street--parramatta-2150-2016711294,https://www.domain.com.au/88-church-street-parramatta-nsw-2150-2016711294,2021-07-10,920000.0,920000.0
Parramatta,2.0,2.0,1,"<b></b><br />Enjoying one of the finest, most convenient locations in Sydney's second largest CBD, The Galleria puts you front row centre for the exceptional growth, gentrification and cultural change that Parramatta is currently experiencing.

A wonde...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'Intercom', 'Dishwasher']",BRAND NEW APARTMENT IN ULTRA CONVENIENT LOCATION,2016709521.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2016341964_12_1_200630_015908-w1620-h1080,2150,BRAND NEW I SELECTION,,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/parramatta-2150-2016709521,https://www.domain.com.au/parramatta-nsw-2150-2016709521,2021-07-10,,
Parramatta,2.0,2.0,1,"<b></b><br />This 2 bedroom apartment is ready to be occupied and selling fast. Most conveniently located in Sydney's largest CBD hub - Parramatta.

A wonderful lifestyle and opportunities exists, making it ideal for first home buyers, investors and fa...","['AirConditioning', 'BuiltInWardrobes', 'SecureParking', 'Intercom', 'Dishwasher']","LIFESTYLE AND OPPORTUNITIES EXISTS, MAKING IT IDEAL FOR FIRST HOME BUYERS, INVESTORS AND FAMILIES ALIKE.",2016398849.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2016695416_1_1_201213_123506-w4000-h1818,2150,"$720,000",,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/parramatta-2150-2016398849,https://www.domain.com.au/parramatta-nsw-2150-2016398849,2021-07-10,720000.0,720000.0
Parramatta,2.0,2.0,1,"<b></b><br />This 2 bedroom apartment is ready to be occupied and selling fast. Most conveniently located in Sydney's largest CBD hub - Parramatta.

A wonderful lifestyle and opportunities exists, making it ideal for first home buyers, investors and fa...","['AirConditioning', 'BuiltInWardrobes', 'SecureParking', 'Intercom', 'Dishwasher']","LIFESTYLE AND OPPORTUNITIES EXISTS, MAKING IT IDEAL FOR FIRST HOME BUYERS, INVESTORS AND FAMILIES ALIKE.",2016695416.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2016695416_1_1_201213_123506-w4000-h1818,2150,"$720,000",,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/parramatta-2150-2016695416,https://www.domain.com.au/parramatta-nsw-2150-2016695416,2021-07-10,720000.0,720000.0
"102B/23 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />Designed to inspire by award-winning architects Architex, The Galleria plays host to a beautiful collection of spacious apartments in the heart of Paramatta 

Zero stamp duty and zero mortgage insurance for qualifying first home buyers.

P...","['AirConditioning', 'BuiltInWardrobes', 'Intercom']",Gorgeous 2 bedroom on high floor,2016692496.0,-33.81783,151.009918,https://bucket-api.domain.com.au/v1/bucket/image/2016688133_15_1_201208_113503-w1024-h683,2150,"$688,000 - $800,000",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/102b-23-hassall-street--parramatta-2150-2016692496,https://www.domain.com.au/102b-23-hassall-street-parramatta-nsw-2150-2016692496,2021-07-10,688000.0,800000.0
"228/109-113 George Street, Parramatta",2.0,3.0,1,<b></b><br />This Apartment is currently rented to a corporate client for $700.00 per week and is sold  fully furnished. A list of inclusions forms part of the Contract. The apartment is access enabled with extra wide doors and showers and all faciliti...,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'InternalLaundry', 'Furnished', 'Gym', 'Dishwasher', 'Study']",Impeccable Modern Apartment in Parramatta CBD,2016681119.0,-33.8156128,151.010117,https://bucket-api.domain.com.au/v1/bucket/image/2016681119_5_1_201204_030304-w1000-h666,2150,Call Kunal 0438 053 379 for your private viewing,George Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/228-109-113-george-street--parramatta-2150-2016681119,https://www.domain.com.au/228-109-113-george-street-parramatta-nsw-2150-2016681119,2021-07-10,,
"102A/23 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />Designed to inspire by award-winning architects Architex, The Galleria plays host to a beautiful collection of spacious apartments in the heart of Paramatta 

Zero stamp duty and zero mortgage insurance for qualifying first home buyers.

P...","['AirConditioning', 'BuiltInWardrobes', 'Intercom']",King of the World!,2016679750.0,-33.81783,151.009918,https://bucket-api.domain.com.au/v1/bucket/image/2016688133_6_1_201208_113503-w1024-h683,2150,"From $688,000 - $800,000",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/102a-23-hassall-street--parramatta-2150-2016679750,https://www.domain.com.au/102a-23-hassall-street-parramatta-nsw-2150-2016679750,2021-07-10,688000.0,800000.0
"502/11 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />'The Skyrise' - located on 11 Hassall St of the Parramatta CBD, will be the second tallest tower in the Parramatta CBD, and stand out of Parramatta's ever-growing city skyline.

It is an exciting opportunity to live in a landmark building ...",['Gas'],Landmark Residential tower in the CBD of Parramatta - 2-bedroom apartment for sale!,2016589030.0,-33.81812,151.00827,https://bucket-api.domain.com.au/v1/bucket/image/2016589030_1_1_201030_014558-w900-h600,2150,"$690,000",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/502-11-hassall-street--parramatta-2150-2016589030,https://www.domain.com.au/502-11-hassall-street-parramatta-nsw-2150-2016589030,2021-07-10,690000.0,690000.0
"42/37 Campbell Street, Parramatta",2.0,2.0,1,"<b></b><br />This apartment just  located opposite of  Westfield Shopping Centre 

- Two  bedrooms with built-in-robe, Master bedroom with Ensuite
-  Internal laundry with dryer
-  Security car space plus storage 
-  Westfield shopping center just acro...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'InternalLaundry', 'Intercom', 'Dishwasher', 'BalconyDeck']","Location ,Location, Location",2016538217.0,-33.81904,151.002426,https://bucket-api.domain.com.au/v1/bucket/image/2016538217_1_1_201007_043802-w1200-h800,2150,"$660,000",Campbell Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/42-37-campbell-street--parramatta-2150-2016538217,https://www.domain.com.au/42-37-campbell-street-parramatta-nsw-2150-2016538217,2021-07-10,660000.0,660000.0
"331/2 Morton Street, Parramatta",2.0,2.0,1,<b></b><br />Century 21 Infinity is extremely excited to present this stylishly contemporary residence at Parramatta. This immaculately presented unit is set amongst manicured grounds within a private and secure complex. The floorplan incorporates 2 be...,['Study'],Motivated Vendor's Must Sell This Week,2016494478.0,-33.814537,151.01738,https://bucket-api.domain.com.au/v1/bucket/image/2016494478_1_1_200915_052345-w2000-h1333,2150,Motivated Vendor,Morton Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/331-2-morton-street--parramatta-2150-2016494478,https://www.domain.com.au/331-2-morton-street-parramatta-nsw-2150-2016494478,2021-07-10,,
"1202/88 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Luxurious and stylish, this brand new apartment is a true show-stopper. Stunning district views from the large balcony wrapping from the master bedroom around to the kitchen/ dining. Located in the heart of Parramatta, opposite Westfield a...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'AlarmSystem', 'Intercom', 'Heating']",BRAND NEW 2 BEDROOM LUXURY APARTMENT,2016472108.0,-33.8197975,151.004211,https://bucket-api.domain.com.au/v1/bucket/image/2016472108_1_1_200902_125548-w1600-h1068,2150,For Sale,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1202-88-church-street--parramatta-2150-2016472108,https://www.domain.com.au/1202-88-church-street-parramatta-nsw-2150-2016472108,2021-07-10,,
"3B TBA//9 hassall street, Parramatta",2.0,3.0,1,"<b></b><br />In the heart of Parramatta, the Imperial is just minutes walk from the Parramatta Train Station, Westfield Shopping Centre, the $2 billion Parramatta Square development, and a plethora of essential facilities including schools, restaurants...","['AirConditioning', 'Ensuite', 'InternalLaundry', 'SecureParking', 'AlarmSystem', 'BalconyDeck']",The vibrant heart of Parramatta: a premium apartment in a superb location,2016436814.0,-33.818615,151.008148,https://bucket-api.domain.com.au/v1/bucket/image/2016069559_2_1_210111_020249-w1200-h800,2150,Contact Agent,hassall street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/3b-tba--9-hassall-street--parramatta-2150-2016436814,https://www.domain.com.au/3b-tba-9-hassall-street-parramatta-nsw-2150-2016436814,2021-07-10,,
"2B TBA//9 hassall street, Parramatta",2.0,2.0,1,"<b></b><br />In the heart of Parramatta, the Imperial is just minutes walk from the Parramatta Train Station, Westfield Shopping Centre, the $2 billion Parramatta Square development, and a plethora of essential facilities including schools, restaurants...","['AirConditioning', 'Ensuite', 'SecureParking', 'NorthFacing', 'AlarmSystem', 'Bath', 'Dishwasher', 'BalconyDeck']",The vibrant heart of Parramatta: a premium apartment in a superb location,2016436790.0,-33.818615,151.008148,https://bucket-api.domain.com.au/v1/bucket/image/2016069559_1_1_210111_041816-w1200-h800,2150,Contact Agent,hassall street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/2b-tba--9-hassall-street--parramatta-2150-2016436790,https://www.domain.com.au/2b-tba-9-hassall-street-parramatta-nsw-2150-2016436790,2021-07-10,,
"4604/330 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Situated on level 46 in the well renowned 'Altitude' development is this beautifully presented 2 bedroom apartment. With spectacular 90 degree views towards the East and the South which captures Sydney CBD skyline, Parramatta River and Par...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'SwimmingPool', 'CityViews', 'Gym', 'Intercom', 'Bath', 'Dishwasher', 'BalconyDeck']",Luxury living at its best!,2016431351.0,-33.81145,151.00502,https://bucket-api.domain.com.au/v1/bucket/image/2016431351_2_1_200811_052932-w1920-h1080,2150,$920000  NO OPEN  FOR INSPECTION DUE TO COVID. ONLY PRIVATE INSPECTIONS.,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/4604-330-church-street--parramatta-2150-2016431351,https://www.domain.com.au/4604-330-church-street-parramatta-nsw-2150-2016431351,2021-07-10,920000.0,920000.0
"1806/330 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Inspections by appointment only. Please contact our friendly sales team to book a suitable time. Strictly 1 person at a time and please wear your mask.

Secure a vibrant city lifestyle is this designer executive apartment that is ideally...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Dishwasher', 'BalconyDeck']",DISABLED-FRIENDLY APARTMENT WITH PARKING IN PARRAMATTA CBD,2016418022.0,-33.81145,151.00502,https://bucket-api.domain.com.au/v1/bucket/image/2016418022_2_1_200804_043531-w1920-h1280,2150,Contact Agent,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1806-330-church-street--parramatta-2150-2016418022,https://www.domain.com.au/1806-330-church-street-parramatta-nsw-2150-2016418022,2021-07-10,,
Parramatta,2.0,3.0,1,"<b></b><br />PRICE GUIDE $700,000 - $730,000
Approximate Rates: Strata $3381/qtr, Council $182/qtr & Water $177/qtr. 

INVESTORS WELCOME, $600/WK, LEASE TERM TILL 15 OCT 2021. 

Central location, modern interiors, urban lifestyle & loads character inje...","['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'Gas', 'SecureParking', 'Intercom', 'Dishwasher']",'302 RISE' Entry Level Three Bedroom Apartment @Parramatta2150,2016395026.0,-33.8135567,151.0034,https://bucket-api.domain.com.au/v1/bucket/image/2016395026_1_1_200723_111253-w2397-h1600,2150,"TENANTED TO OCT2021, INVESTORS WELCOME",,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/parramatta-2150-2016395026,https://www.domain.com.au/parramatta-nsw-2150-2016395026,2021-07-10,,
"1302/11 Hassall Street, Parramatta",2.0,2.0,1,"<b></b><br />Executive near new apartment in the heart of Parramatta on the 13th Floor

Located in the flagship SKYRISE development, this near new 2 bedroom, 2 bathroom apartment enjoys serene city & Parramatta  views.

Landmark Residential tower i...","['AirConditioning', 'BuiltInWardrobes', 'Gas', 'InternalLaundry', 'Gym', 'AlarmSystem', 'Intercom']",Just Listed! Offers Welcome,2016322347.0,-33.81812,151.00827,https://bucket-api.domain.com.au/v1/bucket/image/2016322347_1_1_200618_111305-w1024-h768,2150,"$750,000 Offers Invited",Hassall Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1302-11-hassall-street--parramatta-2150-2016322347,https://www.domain.com.au/1302-11-hassall-street-parramatta-nsw-2150-2016322347,2021-07-10,750000.0,750000.0
"Level 13/88 Church street, Parramatta",2.0,2.0,1,"<b></b><br />This bright north-east facing two-bedroom plus study West Village apartment offers qualities, space and convenience; only a short walk to Parramatta train station and CBD. The large balcony in the apartment plus Podium garden and BBQ areas...","['AirConditioning', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'SecureParking', 'Intercom', 'Dishwasher', 'Study', 'GardenCourtyard', 'BalconyDeck']",Brand New Urban Lifestyle in Prime Location,2016288610.0,-33.8199348,151.004,https://bucket-api.domain.com.au/v1/bucket/image/2016288610_1_1_200601_041239-w3264-h2448,2150,Contact Agent for Price,Church street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/level-13-88-church-street--parramatta-2150-2016288610,https://www.domain.com.au/level-13-88-church-street-parramatta-nsw-2150-2016288610,2021-07-10,,
"1108/330 Church Street, Parramatta",2.0,2.0,1,<b></b><br />Located in the sort after Altitude building is this beautifully presented apartment captures endless natural light and magnificent sweeping views. An inspired design offers a combined living/dining/kitchen area. Opening onto a north/west -...,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'PetsAllowed', 'SecureParking', 'SwimmingPool', 'IndoorSpa', 'Gym', 'Intercom', 'Bath', 'Dishwasher', 'BalconyDeck']",TWO BEDROOM APARTMENT ENJOYS THE PRIME PARRAMATTA CBD LOCATION,2016285789.0,-33.81145,151.00502,https://bucket-api.domain.com.au/v1/bucket/image/2016285789_1_1_200529_044824-w1920-h1439,2150,$745000  NO OPEN  FOR INSPECTION DUE TO COVID.,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/1108-330-church-street--parramatta-2150-2016285789,https://www.domain.com.au/1108-330-church-street-parramatta-nsw-2150-2016285789,2021-07-10,745000.0,745000.0
"2608/45 Macquarie Street, Parramatta",2.0,2.0,1,"<b></b><br />**DAILY PRIVATE INSPECTIONS AVAILABLE**

Embracing panoramic north east facing views, this ultra contemporary apartment is located on the 26th floor of the coveted 'V by Crown' complex. It offers luxurious resort style living in the heart ...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SwimmingPool', 'CityViews', 'Gym', 'AlarmSystem', 'Intercom', 'Bath']",Stunning two bedroom apartment on Level 26  V By Crown Parramatta,2016145325.0,-33.81484,151.001251,https://bucket-api.domain.com.au/v1/bucket/image/2016422292_1_1_200805_111701-w800-h600,2150,"Buyers Guide  $800,000 - $850,000",Macquarie Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/2608-45-macquarie-street--parramatta-2150-2016145325,https://www.domain.com.au/2608-45-macquarie-street-parramatta-nsw-2150-2016145325,2021-07-10,800000.0,850000.0
"3605/330 Church Street, Parramatta",2.0,2.0,1,"<b></b><br />Inspections by appointment only. Please contact our friendly sales team to book a suitable time. Strictly 1 person at a time and please wear your mask.

Panoramic city views star in this quality designer apartment that offers a vibrant e...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'SecureParking', 'CityViews', 'Bath', 'Study', 'BalconyDeck']",EXECUTIVE CITY APARTMENT FEATURES INCREDIBLE CBD VIEWS,2016039481.0,-33.81145,151.00502,https://bucket-api.domain.com.au/v1/bucket/image/2016039481_1_1_200129_101019-w1920-h1280,2150,Contact Agent,Church Street,PARRAMATTA,ApartmentUnitFlat,https://www.domain.com.au/3605-330-church-street--parramatta-2150-2016039481,https://www.domain.com.au/3605-330-church-street-parramatta-nsw-2150-2016039481,2021-07-10,,
"2/21-23 Queens Road, Westmead",2.0,3.0,2,"<b></b><br />Inspections by appointment only. Please contact our friendly sales team to book a suitable time. Strictly 1 person at a time and please wear your mask.

Privately positioned on the top floor of a well-maintained small security block, thi...","['BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry']",WHEN LOCATION AND SIZE MATTERS,2017126285.0,-33.8064461,150.990784,https://bucket-api.domain.com.au/v1/bucket/image/2017126285_1_1_210710_043730-w1500-h1000,2145,JUST LISTED,Queens Road,WESTMEAD,ApartmentUnitFlat,https://www.domain.com.au/2-21-23-queens-road--westmead-2145-2017126285,https://www.domain.com.au/2-21-23-queens-road-westmead-nsw-2145-2017126285,2021-07-10,,
"5A DAFFODIL STREET, Greystanes",3.0,4.0,1,"<b></b><br />Situated in popular Greystanes this brand new duplex is only minutes away from schools, shopping, parks and buses. 
An outstanding construction with high end finishes, and one of the best duplexes you can find ! 

With a stunning polyureth...","['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'SecureParking', 'AlarmSystem', 'Intercom', 'Heating', 'Dishwasher', 'Study']",ABSOLUTELY REMARKABLE BRAND NEW,2017123667.0,-33.83516,150.9478,https://bucket-api.domain.com.au/v1/bucket/image/2017123667_1_1_210708_114252-w6006-h4002,2145,FOR SALE BY NEGOTIATION,DAFFODIL STREET,GREYSTANES,House,https://www.domain.com.au/5a-daffodil-street--greystanes-2145-2017123667,https://www.domain.com.au/5a-daffodil-street-greystanes-nsw-2145-2017123667,2021-07-10,,
